"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0051092",111.154198346066,2.53494807989054,0.334817188898095,7.57114080144218,3.69960792359546e-14,6.26178319834083e-12
"FBgn0015568",148.564132974391,1.22325980812531,0.320914787781188,3.81179009101747,0.000137964016240835,0.00319971938541061
"FBgn0037290",39.9103282782873,4.06620006071076,0.661439173912782,6.14750414109422,7.87116458929421e-10,7.28082724509714e-08
"FBgn0002868",43.3932751287312,-2.48727623144929,0.507185685818505,-4.90407419017609,9.38690087428698e-07,4.05830415516049e-05
"FBgn0037754",116.931270834456,-2.11924458655632,0.307646954863851,-6.88856025730596,5.63598608238468e-12,6.59327489490737e-10
"FBgn0051337",583.529236721541,-1.00288470314755,0.183307735025722,-5.47104410518642,4.4739193016052e-08,2.8023644129346e-06
"FBgn0063649",332.656326567721,-1.23850572922635,0.204523770980976,-6.05555883937597,1.3993101345166e-09,1.18420341702974e-07
"FBgn0039419",1060.43778010363,-1.12814714836652,0.135174613770172,-8.34585072523036,7.07030663532383e-17,1.75763404012503e-14
"FBgn0085376",218.548924950462,-1.21664051655877,0.235691672303834,-5.16200044179065,2.44324713857312e-07,1.28715437002312e-05
"FBgn0039098",178.604105209724,-1.04919751163217,0.250412475111603,-4.18987716632154,2.79105501016573e-05,0.000807376094758851
"FBgn0024288",36.7592664438213,-4.31919182866176,0.720217893150392,-5.99706265248238,2.00918558953805e-09,1.64773931595621e-07
"FBgn0259821",117.821038386011,1.02485949779369,0.319749912883914,3.20519085853753,0.00134972948864464,0.0223689543378502
"FBgn0261552",3417.83665573267,-1.96481608820089,0.133127605501172,-14.7588930245094,2.69670706354019e-49,3.57538411507704e-46
"FBgn0038198",48.8244407893172,2.61023602683146,0.542830896158949,4.80856201314514,1.52019871401185e-06,6.15987825969144e-05
"FBgn0038832",163.847870804462,-2.32446493707192,0.284538686160059,-8.16924042365318,3.10337148014696e-16,6.85758892349141e-14
"FBgn0039827",166.977160855752,-4.20312216724383,0.349715029446366,-12.0187061273798,2.83373893112681e-33,2.25423931971138e-30
"FBgn0042094",67.2295088650964,-1.2260206457119,0.376411657129413,-3.25712719702084,0.0011254598790479,0.0193370050493003
"FBgn0039155",408.688272472477,-4.26748209563345,0.232267053268088,-18.3731701745397,2.15451865849419e-75,4.28479898208032e-72
"FBgn0039305",93.4972659975572,1.09897036191362,0.325198877054259,3.37937932587097,0.000726496933590141,0.0136626078172803
"FBgn0038149",669.219604616261,1.1009249698705,0.156401964617612,7.03907379016727,1.93521871650196e-12,2.44359760155129e-10
"FBti0059706",24.8709381602112,-2.00794934839102,0.634176438752133,-3.16623139191683,0.001544278965894,0.0247177850577199
"FBgn0037635",117.90313269891,-1.18842285117387,0.291149517061623,-4.08183006163921,4.46824644571926e-05,0.00120901022026179
"FBgn0051038",437.19232394002,-1.01940775242202,0.181971301740733,-5.60202483946859,2.11862185768803e-08,1.41627200654691e-06
"FBgn0038237",15.408036744644,-3.87269612440432,1.00135723975235,-3.86744707149878,0.000109980689163778,0.0026431914873047
"FBgn0026562",31680.4456058591,-2.47477088495892,0.109330004742831,-22.6357886911296,1.92588354804731e-113,7.66020181235817e-110
"FBgn0039109",266.432556110812,-1.32323692918814,0.20921212998324,-6.32485759451017,2.53466225009321e-10,2.52040477493644e-08
"FBgn0265276",113.560453314571,1.80164076476531,0.317215283835449,5.67955220499366,1.35047828091696e-08,9.50712807495078e-07
"FBgn0039464",632.632867171768,1.14519587264319,0.156186275942287,7.33224392305987,2.26330662797472e-13,3.27356440464343e-11
"FBgn0037678",27.7672489032515,2.33847491016507,0.644496361679136,3.62837565765699,0.000285210057556206,0.00614863416764125
"FBgn0051370",146.611166027434,-1.02718027609552,0.268369004389288,-3.82749221890587,0.000129455475168146,0.00304679971882426
"FBgn0000071",259.534606517357,2.51396877600634,0.230552721109513,10.9040950109289,1.10184184115678e-27,6.0820210260689e-25
"FBgn0037646",28.263739712335,-2.30066315732725,0.619305201648853,-3.7149101141116,0.000203275939173663,0.00455509886232814
"FBgn0263041",65.8459056148148,-1.72081063776282,0.401940508968849,-4.28125705014766,1.8584054033732e-05,0.000579749607209169
"FBgn0039640",46.7061566047097,-2.0403407133107,0.48127535471388,-4.23944565896936,2.24072425361626e-05,0.000677755187738301
"FBgn0266801",150.158311437947,1.18510439213123,0.282978936263363,4.18795973926582,2.81473432694222e-05,0.000811275781551644
"FBgn0039809",351.165230574037,-1.00059465392187,0.192197753483925,-5.20606841539155,1.92883556404551e-07,1.04380183074708e-05
"FBgn0038804",76.467270517982,1.27073286180791,0.355985678032275,3.56961793753033,0.000357502243464771,0.00748402722832171
"FBgn0039479",129.532985306805,1.60127302756566,0.290636032619886,5.50954750218434,3.59757303346995e-08,2.30795915171399e-06
"FBgn0038528",105.018678184686,1.26790038186185,0.32101136364601,3.94970560375551,7.8247373252825e-05,0.00193912104120319
"FBgn0261555",65.1342245719606,1.20347756837113,0.38937286140854,3.09081008886342,0.0019961125789486,0.0300740067529093
"FBgn0035539",12.0154110774576,3.90252589726421,1.17493081980742,3.3214941947849,0.000895368449773429,0.0160983804379147
"FBgn0287423",25224.2641885634,-1.00979406328412,0.260479717588828,-3.87667060081084,0.000105895567690963,0.00256048401514167
"FBgn0035147",13162.5706468128,-1.10382290589109,0.104531785504975,-10.5596867073371,4.58188472457314e-26,2.14405252846937e-23
"FBgn0004396",1534.80136037724,1.01651443872222,0.148305353484272,6.85419922369839,7.1713083657182e-12,8.26779102163598e-10
