"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
7.33908342669379,-0.0201409333970856,0.22802103428244,1,NA,"FBgn0038067"
309.315244074785,0.0217865824749136,0.102864812234753,1,1,"FBgn0039602"
5.09531840676552,-0.0376554296112359,0.260785316748824,0.923761843907446,NA,"FBgn0038565"
2.57326789924017,-0.0894629214669457,0.406157255344191,0.0977742563699769,NA,"FBgn0039331"
670.542530757917,-0.0269064789547976,0.086600027455371,1,1,"FBgn0019972"
120.434428872781,0.0320300291164104,0.133628807369746,1,1,"FBgn0039627"
111.171425191004,2.39722734263476,0.329933303486291,4.47919518395521e-06,0.00139087968852177,"FBgn0051092"
543.765388646108,0.0212870034999287,0.0921782230975558,1,1,"FBgn0250820"
23.96903662744,-0.0659410738100084,0.218198066378807,1,1,"FBgn0267730"
465.120952722248,-0.0332796217711029,0.0965186649876782,1,1,"FBgn0038243"
1111.27818601356,0.0165473761477385,0.0759233725681253,1,1,"FBgn0283468"
10.1596168776087,-0.0142495320886692,0.214501295883044,1,NA,"FBgn0038598"
450.966466234675,0.0139940213917334,0.0942052610819447,1,1,"FBgn0038407"
18.9706254710374,-0.0119646200719566,0.1910313993979,1,1,"FBgn0027654"
634.842714588483,-0.0350389455255757,0.0906918896039126,1,1,"FBgn0037236"
1186.3297750632,-0.301657570348997,0.140087619204842,1,1,"FBgn0003890"
12.1589663501926,-0.0969478986127995,0.304933472108124,0.631695881860559,NA,"FBgn0051415"
10.1730230593732,0.051660417871272,0.24291816605555,1,NA,"FBti0019447"
15.9625439451691,0.0056152663511313,0.19527325309237,1,1,"FBgn0037723"
407.476740867571,-0.0394855382444107,0.10398342030662,1,1,"FBgn0053207"
1189.84515612952,-0.099957763319172,0.111940908731274,1,1,"FBgn0038890"
343.143640815935,-0.0148309881761307,0.0989733044901748,1,1,"FBgn0010770"
1244.95940122058,-0.098992625889096,0.109628001537201,1,1,"FBgn0046763"
3863.00261522652,-0.384973311588821,0.111975354976102,1,1,"FBgn0038465"
9.11911487561602,0.0428157140790073,0.255904652033697,0.9561012053363,NA,"FBgn0266744"
383.855613487927,0.00502064480868543,0.0954623054403304,1,1,"FBgn0261108"
2.47359688234387,-0.0135994964744369,0.263721343072511,1,NA,"FBgn0263040"
54.8892295568336,-0.00429817780188498,0.15101404004624,1,1,"FBgn0038903"
173.504099730381,0.00300471077802433,0.117766816255537,1,1,"FBgn0037472"
414.686672797704,0.00239547805147361,0.0942485957806967,1,1,"FBgn0263977"
148.589755552573,0.843026984707291,0.387221243960244,0.487092491465007,1,"FBgn0015568"
113.282460001795,0.115133243033828,0.187005791322487,1,1,"FBgn0051116"
36.588442674806,-0.043214760609804,0.184693462472773,1,1,"FBgn0262577"
